De: 2014-01-11 00:00 até: 2014-01-11 23:59
Valor : 12;		 Horário: 2014-01-11 13:46:28
Valor : 300;		 Horário: 2014-01-11 13:53:01
Valor : 18.40;		 Horário: 2014-01-11 14:12:48
Valor : 18.40;		 Horário: 2014-01-11 14:13:48
Valor : 18.40;		 Horário: 2014-01-11 14:14:48
Valor : 18.00;		 Horário: 2014-01-11 14:15:48
Valor : 18.40;		 Horário: 2014-01-11 14:16:49
Valor : 18.40;		 Horário: 2014-01-11 14:17:49
Valor : 18.40;		 Horário: 2014-01-11 14:18:49
Valor : 18.40;		 Horário: 2014-01-11 14:19:49
Valor : 18.40;		 Horário: 2014-01-11 14:20:50
Valor : 18.40;		 Horário: 2014-01-11 14:59:07
Valor : 18.40;		 Horário: 2014-01-11 14:59:58
Valor : 18.40;		 Horário: 2014-01-11 15:00:58
Valor : 18.00;		 Horário: 2014-01-11 15:01:59
Valor : 18.40;		 Horário: 2014-01-11 15:02:59
Valor : 18.00;		 Horário: 2014-01-11 15:03:59
Valor : 18.40;		 Horário: 2014-01-11 15:04:59
Valor : 18.40;		 Horário: 2014-01-11 15:06:00
Valor : 18.40;		 Horário: 2014-01-11 15:07:00
Valor : 18.80;		 Horário: 2014-01-11 15:08:00
Valor : 18.00;		 Horário: 2014-01-11 15:09:12
Valor : 18.80;		 Horário: 2014-01-11 15:10:00
Valor : 18.00;		 Horário: 2014-01-11 15:11:01
Valor : 18.40;		 Horário: 2014-01-11 15:12:01
Valor : 18.80;		 Horário: 2014-01-11 15:13:01
Valor : 18.40;		 Horário: 2014-01-11 15:14:01
